s,sidee isku tihiin cunida garawga?,,,,
j,wax garow ah inaggu ma cuno inkastoo heeda aan cuno,,,,
s,maxaa ugu badan oo ay reerkiina cunaan?,,,,
j,waxay cunaan malawaxa iyo sabaayada,,,,
j,"sidee isku tihiin ceeshka , muufada iyo bur dhaabaha ?",,,,
s,mar mar ayaan isticmaalnaa inkastoo aan cuno cuntada badda badanka,,,,
j,maxaa kamida cuntada badda aad cuntaan?,,,,
s,"waxaa kamida malaayga,yaxaaska,qubada,libaax badeedka, waxkasto oo aan badda kasoo helno",,,,
j,waligaa ma cuntay yaxaaska?,,,,
s,waxaan mar cunay 2020kii waagii cadaado lagu cunaayay.,,,,
j,ma cuntaa macmacaanka?,,,,
s,macmacaanka waxaan cunaa kaliya xalwada.,,,,
j,ma cuntaa qunbaha iyo buskutka.,,,,
s,marmar ayaan qaybka mida cunaaa,,,,
j,suqaarka iyo maraqa ma jeceshahay?,,,,
s,aad ayaan u jeclahay suqaarka.,,,,
j,"liinta meeqa ayay u qabysantaa , imissa liin ayaad taqaanaa?",,,,
s,"waxaan aqaanaa bambeelada ,liin dhanaanta ,liin oranjiga iyo liin madariiniga.",,,,
j,ma cuntay waligaa doolsho? ,,,,
s,aad iyo aad waliba waan jeclahay isagga iyo shuwaarmada,,,,
j,cuntaa ugu Fitaminka badan cuntooyinka xiligaan la cuno?,,,,
s,"ani ahaan waxaan oran karaa ukunta, mooska, caanaha geela iyo qudaarta dabiiciga ah.",,,,
j,waligaa yaanyo ma cuntay?,,,,
s,haa kaliya waxaan cunay yaanyo sibirsaan laakiin waligay ma cunin yaanyo mirooleey,,,,
j,"anigu waxaan cunay yaanyo mirooleey la kariyay iyo rooti , adigu ma cunin?   ",,,,
s,"maya , waa ayaan isku cunay caanjeelo iyo shuukshuuko",,,,
j,cuntadee ugu jeceshahay haatan adiggu?,,,,
s,waxaan ugu jeclahay bariis isku karis ah iyo basbaas shini iyo moos iyo liin wada socdo hana ka hilmaamin cabitaan qare ah.,,,,
j,meeqa ayaa loo qaybiyaa saliida?,,,,
s,waxaa loo qaybiyaa labbo: Saliid macsaro iyo saliid cadeey.,,,,
j,"hagaag, subaga ay reer miyugu isticmaalaan isaggu saliid maahan miyaa?",,,,
s,"maya ma ahan, subagu waa uu ka duwan yahay saliida",,,,
j,meeqa ayaa loo qaybiyaa burka ay dubtaan soomaalida?,,,,
s,"waxaa jira noocyo kala duwan sida : canjeelada,muufada,malawaxa,dhaabaha,bur shiishiilka, bur saliidka, iyo noocyo kale oo fara badan",,,,
j,meeqa nooc oo bariis ah ayaa jira?,,,,
s,waxaa jira bariis cadde iyo bariis isku karis ah.,,,,
j,baastadu sidee loo qaybiyaaa?,,,,
s,baastada waxaa loo qaybiyaa baasta makarooni iyo baasta dhaadheer.,,,,
j,maxay isticmaalaan soomaalida maalmaha ciida ah?,,,,
s,waxay cunaan xalwo iyo buskud  maalinta ciid yarayda.,,,,
j,dabacan ciidwaynaydana maxay cunaan?,,,,
S,waxay cunaan hilibka udxiyada.,,,,
J,Gobolka hiiraan waxa jirto miro ay caan ku yihiin maxay tahay mirtaas?,,,,
s,waa miraha jicibka,,,,
j,Somalida ma cuntaa sagarada ?,,,,
s,Haa wee cuntaa sagaarada,,,,
j,Gobolade ubadan oo laga cuno sagarada ?,,,,
S,"waxa jiro dhawr gobol waxaa kamid ah: Bakool, mudug, iyo meelo badan",,,,
J,Mxay u yaqanaan neefka yar somalida marka ay maqayada ka dalabanayan?,,,,
S,waxay u yaqanaan dhaylo,,,,
J,Buskutka somalida meeqo ayaa loo qeybiya?,,,,
S,"Buskutka somalida waxaa loo qeybiyaa, buskut saliid iyo buskut caadi",,,,
J,Sabta somalida meeqo aa loo qeybiya?,,,,
s,"Waxaa loo qebiya sab tacsi, sab quraan akhris ",,,,
j,subax wanagsan saaxiib?,,,,
s,mid lamid ah saxiib,,,,
j,iwaran sidee tahay?,,,,
s,alxamdulliha waan fiicanahay saxiib,,,,
j,saaka quraac ma doonatey?,,,,
s,maya saaxiib wali maa doonanin,,,,
j,"haye, mxaa ku quraacan rabta saka oo cunto ah?",,,,
s,nio waxaa i qorshesan inaa cuno canjeero  iyo shaah adi?,,,,
j,ana waxaan cuni rabaa suqaar iyo rooti,,,,
s,Qadadana maxaa ku qorsheesan inaad cunto?,,,,
j,aniga waxaa i qorshesan inaan cuno bariis iyo hilib,,,,
s,cashadana maxaa ku qorshesan inaad cuntid?,,,,
j,cashada waxaa ii qorsheesan inaan cuno rooti iyo malaay,,,,
s,casariyaha maxaa ka dhigan rabtaa maanta?,,,,
j,waxaan ka dhigan rabaa buskutr iyo shaah,,,,
,saxiib mataqanaa sida loo sameyo qaxwe?,,,,
,saxiib qaxwada waxaa loo sameya soo qaado jalmadaada,,,,
,kadib maxaan sameyaa?,,,,
,kushubo waxyar biyo ah inta ku anfaceysa,,,,
,kadib maxaan kusii daraa?,,,,
,kadib waxaad ku dareysaa sokor markuu karkarana waxaan ku dareysaa qaxwaha wa intaas,,,,
,wayahay saxiib waa mahad sanatahy?,,,,
,adigaa mudan saxiib sare,,,,
,saxiib maalin wanagsan?,,,,
,mid lamid ah saxiib,,,,
,saxiib qado inaan doonto ayaan rabey manta cunto nocee ah igula talin lahayd?,,,,
,"waxaan kugula talin, lahaa qadada ay soomaalida ubadantahay oo ah bariis iyo hilib ",,,,
,aad ayaad u dooq wanagsantahay mahasanid saaxiib,,,,
,adiga mudana saaxiib,,,,
,saaxiib quraac inaan doonto ayaan rabey quracde igula talin lahayd?,,,,
,"waxaan kugula talin, lahaa qadada ay soomaalida ubadantahay oo ah canjeero iyo shaah hadii aad midkale heli kartana waa caadi",,,,
,"waaku fahmey saxiib, adna ma ila soo cunteen kartaa?",,,,
,maya saxiib aniga kama helo canjeero iyo shaah,,,,
,sabab saxiib waaba cunto fiicane?,,,,
,saxiib aniga waxaa ka helaa subixii inaan ku quracdo canbuulada ,,,,
,"waa gartey, waku si salamaya saxiib?",,,,
,wayahay saxiib maalin wanagsan,,,,
,Waku salaamey saxiib?,,,,
,waka qaadey saaxiib,,,,
,baahi ma ku haysaa saaxiib?,,,,
,haa walaal,,,,
,soo bax waxaan tagaynaa maqaayadaan,,,,
,na wad laakiin maqaayadan malaga helayaa kalaankal iyo bariis sheeno ah?,,,,
,na wad waan soo eegaynaaye.,,,,
,"subax wanaagsan , maqaayada maxaa yaalo?",,,,
,"so dhawaada waxaan haynaa, canjeeliyo maraq, malaay iyo dooro, bariis iyo hilib. maraq iyo muufo. sii daaya dalabka",,,,
,cabitaana maxaa yaalo?,,,,
,"waxaa yaalo qare,cambe,sisin,caano geel,liin iyo biyo caadiyoo baraf leh",,,,
,"hagaag, waxaad noo keentaa bariis iyo kalaankal iyo cabitaan cambe ah sidoo kale qudaarna noo keen.",,,,
,aniga waxaan ii keentaa caana geel iyo basbaaas.,,,,
,"bariis iyo kalaankal , cambiyo caano geel. boobsii, boobsii",,,,
,haye saaxiib ma dharagtay?,,,,
,"na wad saaxiib, aaway farxalkii?",,,,
,waa halkaas ee nasoo wad?,,,,
,lacagtu waa imisa kabalyeeri?,,,,
,4 dollar iyagoo labaa 4 dollar.,,,,
,aaway numberka maqaayada?,,,,
,"ka fiirso waa tuureee, soo tirtiro ee nasoo wad saaxiib.",,,,
,"haye saaxiib subax wanaagsan , waan baxayaa macsalaamo.",,,,
