Su'aaal,Jawaab
Hadii anoo jiifaa  aan sameeyo inan lugaha kor u taago miyaa la dhihi karaa waa jimicsi ?,Haa Waa Nooc Kamid ah Jimicsiga.
Keebaa wanaagsan inan sameeyo jimicsi iyo Ciyaaro hadii aan rabo inan jir dhis sameeyo ?,Labaduba Waxay Kaqaybqatan Jirdhiska Lkn Waxa aad Uku Fican Jirdhiska .
Miyaa la dhihi karaa ciyaaruhu waxay is dhexgal u yihiin bulshada ?,Haa Waa Astan Utagan Isdhaxgal iyo Nabadda bulshada 
Majiraa jimicsi lixiriira dhaqanka soomaliyed ?,
Miyay kamit tahay jimicsi wadida baaskilka ?,Haa waayo waxa badanaa shaqaynaaya lugaha iyo xubno kale oo badan ?
Waligaa hore ma uwaday baaskilka ?,Haa waan jeclahay inan wado baskiilka 
Majiraa dhibatoyinka kasoo garay wadita baskiilka ?,Maya laakiin Waxaa hubaal ah inuu leeyahay dhibaatoooyin badan oo kasoo gaari kara wadistiisa
Ciyaarihii yarantada ciyari jirtay maxaa ka xasuusata ?,"Waxan ka xasuustaa  Baaskiil wadista , kubada cagta iyo ul ka boodo ciyaar la dhaho"
Sababta aad ugu jeceshay ciyaarta kubada cagta waa maxay ?,Waxaan ku raaxaystaa markii aan ciyaaraayo kubada cagta waayo waxay leedahay xamaasad aan caadi ahayn.
Baaskilka miyaad lahayd mise waad kiraysan jirta ?,Waxa iska lahaa saaxiibkeey qaaliya .
Goobaha aad kuwadi jirtay miyaa xasuusata ? ,"Haa si fiican, waxaan ku wadi jiray xafada agagaarkeeda marmarna magaalada ku aadi jiray."
Baaskilka lagu wado wadooyinka waa wayn halis nooce ay leeyihin ?,Waxaa laga yaabaa inaad xakamayn wayso kadibna uu baabuur ku dardaro.
Ma isleedahay ciyarta calamiga ah waad kuma matali doonta  Soomaaliya wadista baaskilka ?,Maya waayo waan ka duqoobay hada.
"Ma isleedahay waxa jiro ciyaar aysan da lahay oo qof walba oo caqli leh ciyaari karo , jeeska ?",Waxaan isleeyahay waa ciyaarta Jeeska.
Hore mau ciyaartay jeeska ,Haa waan u ciyaaray.
Maxaa ka aamin sanatahy ciyarta jeeska ?,Waxaan ka aaminsanahay ineey maskaxda dadka koriso.
Ma is leedahay xooga waa ay ka xiiso badan tahay ciyaaraha kale ?,Dadka qaar markii loo fiirsho iyo aniga haa.
Xiligii kugu horeeyay aad ciyarto jeeska maxa suusata ?,Waxay ahayd labaddii kun.
Yaa kugu dhiiragaliya inaa ciyaarto jeeska ?,Waxaa ciyaari jiray awoowgeey isaga ayaana igu dhiirigaliyay.
Yuu ahaa macalikna ku baray jeeska ?,Waxa uu ahaa awoowgeey .
Ma isku dayday inaad laciyaarto macalinkaga jeeska ?,Haa waayo waaba qofkii iigu horeeyay oo aan ka badiyo.
Makala taqanaa wax  yawaha uu kako wan yahay jeeska ?,Waxa uu ka kooban yahay Boqorada Askari Faras Besham.
Midkee ugu jeceshahay inaad ku ciyaarto ?,waa ugu jeclahay farska .
Maxaa ku dooratay  Faraska ?,sawabtoo ah wuxuu wax kudilaa qaabka la ama L shape .
Maxaa u doooran waysay Boqorada ?,sabatoo ah qatar teeda ayaa badan hadii mar lakaa cuno waxay ubadan tahay in lagaa badin doono .
Jimicsiga yaa loogu talo galay ?,waxa loogu talaga qof walboo awooda inuu jimicsado.
Faraska sababtee ku doooratay ?,sawabtoo ah wuxuu wax kudilaa qaabka la ama L shape .
Dadka Feerka  ciyaara miyay mudan tahay ineey usameeyaan si ciyaara ah jimicsi ?, Haa waayo aad ayay ugu Fiican tahay.
 somaliya maleedahay urur jees,haa waa ay leedahay  soomaaliya urur Jeeska ciyaara.
Maka mitahay urukas ?,Haa waan ka mid ahay.
Muxu ka caawiyaa ciyaryahana ciyaara jeeska ?,Waxa uu ka caawinayaa inuu u dhiso maskax ahaan.
Maqabata tartamo jeeska ?,Haa waan qabtaa .
Maka mit noqotay tartamadas ?,Haa waxaan ka mid noqday ilaa shan mar.
Yaa guulaystay ciyaartas ?,aniga ayaan gulaystay.
Goorme ay ahayd tartankaas ?,Waxa ay ahayd labada kun iyo sagaalkii.
Qofkii kugulaysay muxu hadiyad uu helay ?,waxaa uu helay lacag dhan hal milyan oo shilling soomaali ah.
Malaga yaaba inaa somali u ciyaartid jeeska ?,Haa hada ayaanba u ciyaari rabaa .
Ma isleedahay ciyaraha kale way ka'adag tahay ?,Haa waayo waxa ciyaari kara dadka sida adag u fekera.
"Waxaa ladhahaa maskaxday dhistaa ciyaarta jeeska , maxaa kajiro ?",Waa sax waxa ay dhistaa maskaxada qofka iyo hab fekerkiisa.
Wax maka sheegi kartaa tariikhda ay leedahay ciyaartan ?,Waxban ayaan kaga sheegi karaa .
Intaad ciyaraysay jeeska maxaa kugu farxad badnaa ?,Waxaa iigu farxad badanaay.
Maok tahay in jeeska lagu dhiso kaartoyinka dagaalada iyo difaaca ?,Haa waxa isticmali jiray dowladahii hore .
Sidee uaraktaa hadan kudhaho ila ciyaar jees ?,waxba kama qabo.
Maisleedahay ina kabadiyo ciyarta jeeska ?,walaga yawaa lakin mafududo .
meeqa dhaqaq aat isleedahay in aat igu xirto ciyaarta ?,kaliya afar dhaqaq.
Hadii anka badiyo maxaa iiqiraysaa ?,Waxaa tahay jeesyahan aan loo dhawan karin .
maisleedahay ciyaarta inay kaqatqatan doonto kobaca maskaxda ?,haa ciyarta waxaa ladhahaa maskaxdada yayku ciilin .
maxaat kataqana ciyaarta orodka ?,waa ciyar soo jireen ah lagugu kala badiyo xawaraha iyo fudeedka .
maisleeday ciyartas qofwalbo waa ay fudutahy ?,maya sawabto ah tadka waa ay kala duwan yihiiin.
sidee aat isleedahay xawaraha orodka wa lagu kordhinkaraa ?,In marwalbo orod uusameeyo joogto ah.
ciyaartan maleedahay cafimad daro?,maya hadii lociyaro siwanagsan.
malaga yaawa qof ciyaarayo inuu udhinto ?,haa oo inuu wadnaha istaago.
sidee uaraktaa hdaan ku dhaho orod iibax ?,waan ogolahay.
Tadka reer badiyaha ah maxay u orod fican yihin ?,waa hida iyo dhaqan ay leeyihin oo marwalbo ciyaaran ?
majiraa orodka in uu laxiriiro dhaqan ciyaaretka soomalida ?,haa wwanka warhayaa midas .
adiga maciyaarta ciyarta rodka ?,"maya, oo majecli."
Sawabta aadan uciyarin maxay tahay ?,sawabta waxay tahay aniga waan culusahay .
Kabdhaha maciyaaran ciyarta orodka ?,"Haa, calamka waa ay ciyaaran."
Dhaqanka soomaliyed kabdhuhu maciyaaran orodka ?,Mya shaqanka kama mid ahan.
ciyaaraha calamiga ah lacak malaga sameeyay ?,haa walaga sameeyaa.
waa tee ciyarta ugu mushaarka badan oo laciyaaro ?,waa kubadacakta .
Sidee lacak loogu sameeya kubada cagta ?,"Waaxay uciyaran ciyar yahanada kooxo, kuwaasay kahelaan lacagaha fara badan ."
Kubadacakta xirfad mala dhihi karaa ?,Haa waa xirfad jira oo la aqoonsan yahay ?
Kooxaaha kubadacagta siday lacak usameeyan ?,Waxay lacak usameeyan sida xayaysiska iyo karoonka oo kasoo kala lacak aat ubadan.
Maleeyihin ciyaaryahanada caymis caafimad ?,haa oo waleeyihin caymis?
fasaxyo mahelaan ciyaaryahanada ?,haa oo waa ay helaan sanadwalbo bilooyin fasax .
Ciyaaryahanada maxay uwatan gawarida qaaliga ah ?,Badankooda waa tad lacak leh oo miliyaneer'ah.
Gawarida qaaliga ah maxaa kataqanaa adiga ?,"waxaan ka,aqanaa farari iyo lambargani."
ciyaaraha somali kuwe xisaysaa ?,waxan xisaya kubadacakta iyo jeeska .
Mahelaan dhaqaa le ku filan ciyaraha soomaliya ?,mahelaan dhaqale kufilan .
Sawabta aysan uhelin maxaa kamid ?,Mahaystaan karooomo aat uwanagsan iyo wacsiyiga oo hooseya.
Waxmaka sheeginkartaa telefishanada tawiya ciyaaraha soomaliya ?,Waxaa kamid ah astaan.
Ciyaara Nooce ay tibiyaan ?,Ciyaaraha somaliya kadhaca dhamaan.
Hadda hormar masamaysay ciyaraha soomaliay ?,Haa waa ay samaysay.
"Hore jimicsi ma,aaday ?",ma'aanan aadin .
Sawabta aat uaaday maxay tahay ?,qataraheeda aad ubadan.
Maxaat laga faaidaa jirdhiska ?,Waxa laga faidaa in lagu dhiso jirka laguna jimicsado.
Wax saamayn uu leyahay majiraa?,haa waa hadi loo isticmaalo si qaldan.
Somaliya maleedahay Warshada sameeyay alaabta cafimadka?,maya mahaysato.
Sawabta aysan ulaheen maxaa kamid ah ?,Dhaqalahoda oo anan haysanin oo usabab ah wax yaabo badan.
Maleedahay somaliya inginero yaqana qaabka loo sameyo qalabka jimicsiga ?,mahubo inay leedahay.
Sidee loo hormarin karaa qalabka jirdhiska ?,in lasameeyo baaris qoto dheer lixiriirta qalabka jirdhiska .
Maisleedahay jirdhiska wuxu qeb muhim kayahay labiska dharkaga ?,Haa wuxuu qurxiyaa labiskada.
Sidee uu uqurxiyaa labiskaaga jirdhiska ?,Wuxu sosaraya labiskada .
Majiraan cuntoyin ugaar ah jirdhiska tadka sameeya ?,haa waa ay jiraan wana badan yihin.
Ganacsiga goobaha jirdhiska waa sidee suuqoda ?,waa qali.
Inay qaali noqoto maxaa sababa ?,sawabta waa korontadoo qali ah .
Dhalinyarada maubadan yihin goobaha jirdhiska ?,haa waubadan yihin.
Sawabta ay ugu badan yihin maxay tahay ?,Waxay uarkaan inuu labiskoda soosarayo.
Qataraha kajiro goobaha jirdhiska maxaa kamid ah ?,In biraha Kugu soodhacan .
Sababta gaar looga dhigay cuntooyinkaas jirdhiska ?,Waxa ay kubadan yihin baroteenka iyo nafaqada.
Tawabarayaasha soomalida jirdhiska maleeyihin xirfadahas ?,Haa waa ay leeyihin.
Xirfado hooda Masareeysa oo ma tawabari karaan feeryahano caalami ah ?,Haa waa ay tawabari karaan oo waa ay leeyihin xirfadahas.
ciyaraha isbortiska maxay kaqayb qaatan?,Nabada iyo isdhexgalka.
Dowlada soomaliyed dhaqale maku bixisaa ciyaraha.?,Haa waku bixisaa lkn kuma filna.
Gobolada soomaliya garoomo caalami ah maleeyihin ?,Maya malahan garoomo caalami.
Waa maxay sababta somali ay kaalmaha hore ukali wayday ciyaaraha caalamka ?,Uma dhamaystiran xirfadahoodi.
Maxaa kahor istaagan in kaalmaha hore ay kasho soomaliya ?,Mahaystan macalamin sifican u tawabari kara.
Sidee lagu hormarin karaa xirfada ciyaaryahanada soomaliya ?,In ay helaan macalamin xirfadohoda sareeso iyo koob ay ku jimicsadan.
Ciyalka xafada ciyaarahe ubadan yihin ?,waxa ay ubadan yihin kubadacakta iyo jeeska .
Ciyaraha game side isku tihin ?,Waan isku fiicanahay.
Meeqa game aat ciyaartay ?,"Waxa aan ciyaaray sida pubgy, ciyaraha kubadacakta iyo gaxaynta gawarida."
Yarantada wax maka xasuusata ciyaraha game aat ciyartay ?,Haa waxbadan ka xasuusta.
Sheek games ugu caansanaa aat abid ciyaarto ?,waa bubgy game
Hore mau ciyaartay pubg game ?,Haa oo sanado badan.
Sidee loo ciyaara pubgy game ?,"waxaa loo ciyaraha hal hal qof, labo, sedax ilaa afar qof oo iska shanaya ."
Yaat ka xasuusata saxibadahagi hore ee laciyari jirtay ,Wax badan aan kaxasusata .
