B,Xaggeed ka shaqeysaa ninyahow?
T,"Waxaan ka shaqeeyaa mid kamid ah iskuullada ku yaal Muqdisho, caasimada Soomaaliya."
B,Ma macalin iskuullada dowladda u shaqeeya ayaad tahay mise iskuullada gaarka loo leeyahay?
T,"Waxaan ahay macalin qaran, oo ka shaqeeya iskuullada dowladda."
B,"Waan gartay saaxiib, iiga waran immisa maalin ayaad shaqeysaa?"
T,Waxaan shaqeeyaa keliya 3 maalin isbuucii.
B,"Wa si wanaagsan, ilaa immisa sanno ayaad macalin tahay?"
T,Ilaa 10 sanno ku dhawaad.
B,10 sanno miyaad macalin qaran tahay mise?
T,"Maya, waxaan ka mid ahaa 3dii kun oo ay wasaaradda waxbarashada hiddaha iyo tacliinta sare qaadatay sannadii 2023kii."
B,Ma jiraan shaqooyin kale ood horay usoo qabatay?
T,"Haa, way jiraan."
B,Wax ma iiga sheegi kartaa?
T,"Haa, waxaan sidoo kale kasoo shaqeeyey dukaan."
B,"Waan gartay, ee dukaanka maxaa lagu iibin jiray?"
T,"Waxaa lagu iibin jiray bagaashka iyo cunnooyinka quutul-daruuriga ah sida bariiska, baastada, burka, saliidda, iyo waxyaabo lamid ah."
B,Dukaankaas ilaa immisa sanno ayaad ka shaqeyneysay?
T,Waxaan ka shaqeynaaye ilaa 2 sanno iyo bar kabadan.
B,"Waan gartay, shaqada iskuulka iiga waran, ma laha gelin ayaad shaqeysaa mise hal gelin maalintii?"
T,"Saaxiib, waxaan shaqeeyaa keliya hal gelin maalintii."
B,Ma gelin subax ayaad shaqeysaa mise gelin galab?
T,Waxaan shaqeeyaa gelinka hore ee subaxdii.
B,"Hagaag, gelinka dambe ee maalintii ma shaqeysaa?"
T,"Haa, waan shaqeeyaa."
B,Maxaad ka shaqeysaa?
T,Waxaan ka shaqeeyaa iskuul kale oo ah iskuullada gaarka loo leeyahay?
B,Maaddooyinkee ka dhigtaa ood macalin ka tahay?
T,Maadada Cilmiga Bulshada oo keliya.
B,Kawaran shaqada macalinimada ma dhib badantahay mise waa shaqo iska fudud?
T,Runtii waa shaqo adag.
B,"Maxay kula tahay waxa sidaas u adkeeyay shaqadaan, adigoo kaashanaya qibradaada macalinimo ?"
T,"Hadii aan kuu sheego qibradayda, waa shaqo u baahan dhowr xirafaddood sida xirafadda wadaxariirka iyo xirfadda wax gudbinta"
B,"Waan gartay saaxib, ma iisheegi kartaa sababaha aad u dooratay shaqadaan macalinimada?"
T,"Hagaag, waxaan ku doortay sababo badan balse waxaa ugu wayn in aan jeclaa la falgalka dadka, taas ayaa igu dhalisay in aan ugu danbayn aan bilaabo shaqadaan."
B,"Gartay, hadda aniga ma'igula talin lahayd in aan barto macalinimadda kadibne aad ku shaqeeyo?"
T,"Runtii waxay ku xirantahay hankaaga yacni xiisahaaga, hadii aad jeceshahay in aad dadka waxbarto oo aad gudbiso aqoontaa markaas waan kugula talin lahaa."
B,"Mahadsanid saaxib, waan jeclahay in aan wax gudbiyo balse waxaan doorbidaa in aan muuqaal doobo kadibne aan baraha bulshada ku baahiyo."
T,Waa xirfad fiican iyadane balse iiga waran howlahaaga maalin laha ah ee xirfaddaan muuqaal baahinta?
B,"Xaqiiqatan waa shaqo adag, una baahan howlkarnimo iyo dadaal badan."
T,"Haa, shirkaddee ayaad u shaqaysaa adiga?"
B,"Maya, aniga lee ayaa isku shaqeeyo."
T,"Kuma fahmin, maxaad ulajeedaa aniga ayaa isku shaqeeyo?"
B,"Yacni, aniga ayaa muuqaal iska duuba, waan hagaajiyaa kadib ayaan soo dhigaa baraha bulshada."
T,"Hagaag, ma waxaa jira shaqooyin kale aad qabato."
B,"Haa, wayjiraan runtii."
T,Wax ma iiga sheegi kartaa shaqooyinkaas kale aad qabato?
B,"Haa, waxaan sameeyaa xayisiinta baraha bulshada."
T,Ka waran lacag fiican makaa soo gashaa shaqooyinkaas?
B,"Haa, in igu filan."
T,"Gartay, tiro ahaan ma iisheegi kartaa?"
B,"Haa, lkn ma jirto wax cayiman."
T,"Waxaan ufahmay in bilba bil ay ka duwantahay lacagta ku soo gasha, sax miyaa?"
B,"Haa, dabcan."
T,Shaqadaan qofkasta maka shaqaysan karaa?
B,"Haa, hadii uu u adkaysan karo bilaha hore."
T,Qiyaas inta qof ee shaqadaan ka shaqayso marka la fiiriyo soomaaliya?
B,Ma sheegi karo balse waa fursad ka banaan suuqa shaqada soomaaliya?
T,Masuul miyaad ka shaqysaa kaluumeysiga?
B,"Haa, waan ka shaqeeyaa."
T,Shaqadaan kaluumeysiga miyaya tahay shaqo adag?
B,Maya waa shaqo fudud.
T,Maxaad qabataa marka?
B,Waxaan qaataa shabaag ama shabaq iyo doon kadibne badda ayaan ku daadsadaa?
T,Sidaas miyaad ku heleysaa kaluunka?
B,"Haa, shabaqa ama shabaaga ayaan badda dhaxdeeda ku fidiyaa"
T,Kadib maxaa samaysaa?
B,"Kaluun markuu iisoogalo ayaan la soo baxaa, kadibne suuuqa ayaan geeyaa."
T,Kaliya kaluumeysiga miyaad ka shaqaysaa?
B,Maya sido kale waxaan ka shaqeeyaa maqaayad?
T,Maxaad ka qabataa maqaayadda?
B,Waxaan ka shaqeeyaa qeybta malay karista.
T,"Cajiib, miyaad karin taqaanaa malayga?"
B,"Haa, weliba nuucyo kala duwan."
T,Kawaran shaqada kaluumeysiga iyo cunto karinta tee fiican?
B,Waxaa fiican tan kaluumeysiga.
T,Maxay ku fiicantahay shaqada kaluumeysiga?
B,Shaqada kaluumeysiga waa mid fudud oo cajiib ah.
T,"Gartay, shaqada cunto karinta maxa ku xuntahay?"
B,Maxuma laakiin aniga ayaa dabka aan jeclayn.
T,Ma iisheegi kartaa shaqooyinka kala duwan ee la qabto marka la joogo maqaaxiyadaha?
B,Haa si fiican.
T,Iisheegbal shaqooyinkaas saaxib?
B,"Shaqooyinka ugu badan ee laga shaqeeyo maqaaxiyadaha waxaa kamid ah cunto karin, alaab dhaqis iyo kabalyeerinimo."
T,Waxaan qiyaasaa in aad sarifle tahay?
B,"Haa, waxaan ahay sarifle."
T,Maxay tahay shaqada sarifka?
B,Shaqada sarifka waa in la'isku bedelo 2-lacag ee kala duwan.
T,Adiga lacagahee isku sariftaa?
B,waxan isku sarifaa laba lacagood oo kala duwan
T,Adigane ma waxaad ka shaqaysaa beeraha?
B,"Haa, waxaa ka shaqeeyaa beeraha."
T,Beeraha miyaad fashaa?
B,"Haa, waan falaa beeraha."
T,Sido kale beeraha maaxaa ka qabataa?
B,Waxaan ka ilaaliyaa beeraha in ay shimbiraha cunaan.
T,"Sax, intaas lee miyaa shaqadaada beeraha?"
B,"Maya, sido kale beerta ayaan cayayaanadda ka buufiyaa."
T,Miyay shaqada beeraha tahay shaqo wacan ?
B,"Haa, waa shaqo aad u fiican."
T,Maxaad u dooratay in aad beeraha ka shaqayso?
B,Sababtoo ah waxaan jeclahay dabeecadda.
T,Ma noqon kartaa shaqada beeraha shaqada ku haboon qofka dabeecadda xiiseeya?
B,"Haa, si wanaagsan way noqon kartaa shuruud la'aan."
T,Cabitaanle ayaa tahay soomaaha?
B,"Haa, waxaan ahay cabitaanle"
T,Maxay tahay shaqada maalinlaha ah ee cabitaanlaha?
B,Cabitaanlaha maalin walba wuxuu sameeyaa cabitaano kala duwan si uu uga iibiyo macaamiishiisa
T,Iisheeg cabitaanada kala duwan aad samayso?
B,"Waxaan sameeyaa cabitaano kala duwan sida cambaha, qaraha, mushakalka iyo liinta."
T,Asiga waa cabitaanle ee adiga maxaad ka shaqaysaa?
B,Waxaan ahay kawaanle.
T,"Kawaanlaha, maxay tahay shaqadiisa?"
B,Wuxuu qabtaa shaqooyin kala duwan
T,Iisheeg mid kamid ah shaqooyinkaas?
B,Waa in uu neefka qalo.
T,Kawaanlaha miyuu sameeyaa lacag badan?
B,"Haa, marmarka qaar."
T,Goormee ugu fiican uu lacag sameeyaa kawaanlaha?
B,Wuxuu sameeyaa xilliga ciidaha.
T,"Haye, saaxiib iiwaran?"
B,"Haa, saaxiib, nabadee waran hee?"
T,"War waa la fiicanyahahee, iiga waran shaqadii aad raadineysay?"
B,"Saaxiibboow, jawaab waan ka helay, oo darraad ayaan wareysi galay."
T,"Hagaag, horta iiga waran, shaqada aad codsatay maxay aheyd?"
B,Waxaan codsaday qaybta suuqa-gaynts saaxiib.
T,"Haa, ilaa immisa maalin aad sugeysay ee jawaabta?"
B,Runtii ilaa isbuuc kabadan waan sugaye.
T,"Waan gartay, kawaran hee wareysiga shaqada siduu ahaa?"
B,"Runtii, ma fududeyn mana adkeyn, qofkii ay takhasuuskiisa ay tahay arrimaha suuq-gaynta wuu u fududaa saaxiib."
T,Maxaad kuu dooratay shaqadaas laakiin saaxiib?
B,"Waa shaqo aan khibrad buuxda u leeyahay oo aan kasoo bixi karo, suuq-gaybta."
T,"Waan gartay, horay ma ugu soo shaqeysayne?"
B,"Haa, saaxiib."
T,Ilaa immisa sanno ayaad arrimaha suuq-gaynts kusoo shaqeysay saaxiib?
B,"Ilaa 4 sanno ku dhawaad, saaxiib."
T,Ma igula talin laheyd in aan anigana barto?
B,"Haa, dabcan. Waa shaqo wanaagsane."
T,Meelo aan ka baran karo iisheeg saaxiib?
B,"Saaxiib, mareegaha waxbarashada waan ka heli kartaa kuwo badan oo weli bileesh ah, saaxiib."
T,Ma jiraan shaqooyin kale ood horay u qabatay ama qaban karto?
B,"Haa, dabcan masuul."
T,Maxay kala yihiin saaxiib?
B,Waxaan 2sanno maamule ka ahaa mid kamid ah goobada lagu daabaco boorarka iyo wixii lamid ahba.
T,Kawaran shaqada maamulnimada?
B,"Saaxiib, waa shaqo masuuliyad badan leh."
T,Oo miyey ka adagtahay shaqada aad hadda codsatay ee suuq-gaynta?
B,"Haa, wadaay."
T,"Waan gartay saaxiib, iiga waran shaqada hee?"
B,"Hadda xooggaa waan la qabsaday, saaxiib."
T,"Waan gartay, muddo kadib adaaba qabiir noqon doonee, dedaal lee adiga."
B,"Waayahay, saaxiib mahadsanid."
T,"Horta, waxaan ku weydiinaa, shaqada xisaabiyenimafa hadda kahor maku shaqeysay?"
B,"Haa, laakiin inbadan ma aheyn."
T,Ilaa immisa?
B,Ilaa 1sanno meelahaas u maleynaa.
T,"Haa, waan gartay. Kawaran shaqada xisaabiyenimada ma fududahay mise?"
B,"Saaxiib, ma fududa runtii."
T,"Maxaad ku dooratay marka adiga, saaxiib?"
B,"Waxaan ku doortay yaraanteyda ayaan xisaabta jeclaa, saaxiib."
T,"Hagaag, qofkii yaraantiisa xisaabta ku fiican, xisaabta ku fiican xisaabiye wuu noqon karaa miyaa?"
B,"Haa, dabcan. Xisaabiyenimada waa u muhiim in qofku xisaabta ku wanaagsan oo aadna usoo bartay."
T,"Waan gartay, sidaas darteed shaqada xisaabiyenimada waa shaqo ku adag qofka aan xisaabta ku wanaagsan, soo sidaas maaha?"
B,"Haa, waa sidaas."
T,Run-ahaantii waa shaqo aad u adag.
B,Oo shaqooyinka kale miyey ka adagtahay kalkaaliyenimada?
T,"Haa, dabcan"
B,"Laakiin, sidee?"
T,"Waa shaqo masuuliyad adag, oo loo baahanyahay mar walba in naf bini'aadam la badbaadiyo. Ma shaqo ka adag baa jirta in naf la badbaadiyo, saaxiib?"
B,"Maya, xaqiiqdii. Waa shaqo adag."
T,Waajibaadka kalkaaliyaha maxaa kamid ah?
B,"Waajibaadka way badanyihiin saaxiib, oo halkaasn kuma soo koobi karo."
T,Waxyar iisheeg?
B,"Hagaag, waajibaadka kalkaaliyaha waxaa kamid ah in uu mar walba ka hayo xaaladda bukaanka lana socdo iyo in uu dhakhtarka ka caawiyo howlaha."
T,"Waa sidaa sheegay, runtii waa shaqo muhiim ah."
B,Walaal waxaan ahay shaqo doon ee adiga miyaad shaqaysaa?
T,"Haa, waxaan ka shaqeeyaa dekadda."
B,"Si wanaagsan, maxaad ka qabataa dekadda?"
T,Waxaan ahay xisaabiyi.
B,Maxaad xisaabisaa ninyahow?
T,Waxaan xisaabiyaa alaabta dekadda ka soo degto.
B,Kaliya kuwa soo dego miyaad xisaabisaa?
T,"Maya, kuwa la dhoofiyane waan xisaabiyaa."
B,Shaqooyin kale miyaa laga qabtaa dekadda?
T,"Haa, waxaa laga qabtaa shaqooyin tira badan."
B,Ma waxaad ku shaqaysaa darawalnimo?
T,"Haa, waxaan ahay darawal."
B,Darawal baabuurta yaryar wado miyaa tahay?
T,"Maya, mawado."
B,Marka darawal nuucee ah ayaa tahay?
T,Waxaan ahay darawal baabuurta xamuulka.
B,"Hagaag, maxaad ku dooratay baabuurta xamuulka?"
T,Waayo way ka mushaar fiicanyihiin kuwa kale.
B,Keebaa dhib badan in laga shaqeeyo baabuurta xamuulka iyo kuwa yaryar?
T,Waxaa dhib badan kuwa xamuulka.
B,Xamuul nuucee ah ayaad qaadaa?
T,Waxaan qaadaa badeeco kala duwan.
B,Meeqo sano ayaa tahay darawal?
T,Waxaan ahay darawal muddo 10 sano ah.
B,
T,
B,
T,
B,
T,
B,
T,
