B,"war ninyahow war farxad leh baa ii sheegtay , ee hadda ma furan tahay saaxiib",
A,"Haa saaxiib khamiista iyo jamcaha kaliya bay xiran tahay , maalmaha kale si toos ah bay u shaqeeyaan",
B,Bari insha Allaah markii imtixaanku noo dhammaado ma ii raaci kartaa saaxiib ?,
A,"Haa waa kusoo tusaa saaxiib , si aad usoo qiimeysid ",
B,war dhammaadey bari markaad kasoo baxdid imtixaanka maddada u danbeysa isug,
A,"haye , waxaa iigu timaaddaa meheradda maamo nuuro",
B,Insha Allaah haye saaxiib .,
A,Asalaamu caleykun Maryan,
B,"wacaleykum masalaam Faarax , seetahay aboowe",
A,Maasha Allaah abaayo waa feecnahay adiga iska waran,
B,"Alxamdullaahi abaayo , waayadaan laguma arage , iskoolka miyaa ka baxday ?",
A,"Maya walaalo , ee xoogaa safar ah baa isoo galay ",
B,mid waxbarasho ah baa saaxiibeey ?,
A,maya waa mid arimo kale ah aboowe,
B,"haa  waa fahmay , sida kale xaalka , waxbarashada kawaran xaalkeeda waa sidee ?",
A,"way iska feecan tahay runtii anigaa xoogaa ka mashuuley waayadaan maahane , balse hadda ayaa rabaa inaan sifeecan u dadaalo , Hadduu Alle idmo",
B,"Haa war walaalo dadaal insha Allaah wax yar baa noo dhimane , in yar dhabar adeyg samee",
A,mahadsanid saaxiib waa dadaalaa wixii maanta ka danbeeya ,
B,"waa mahadsan tahay saaxiib , sanadkaan markaan dhammeyno dugsiga iskoolkee galeysaa mise kan ayaa sii jooogeysaa",
A,maya walaalo iskoolkaan waa kabixi rabaa markaan dhammeeyo sanadkaan ,
B,"maxaa dhacayna walaal , iskoolkaan waxbarashadiisa way feecan tahaye",
A,Haa wuu feecan yahay laakiin caqabado badan oo kale ayaa ku qabaa sida fogaanta iyo qiimaha lacagta oo xoogaa igu badan,
B,"haa waa fahmay , laakiin iskoolkee jeclaan lahayd inaad gasho ?",
A,"waxaa jeclahay iskoolka Cadnaan ee ku yaal xaafadeyda agteeda , waxbarashadiisuna aad u feecan tahay",
B,balse iskoolkaas ma ogtahay inuu lix maalin asbuucii la dhigto ?,
A,haa waa ogahay waana ka bixi karaa insha Allaah ,
B,Guul ayaa kuu rajeynayaa abaayo meel kastoo tagto ,
A,Waa ku salaamay macalin Ahmed see tahay ?,
B,"waa feecnahay Jaamac ii waran , layligii shalay maka soo shaqeysey?",
A,haa macalin waa kasoo shaqeeyey laakiin hal su'aal baa igu adkaatey taasaa rabey inaad ila eegtid haddaad waqti heyso,
B,"dhib maleh , markaan fasalka soo galo isoo xasuusi anigaa kula xalinaayee balse isku sii day ka hor xiisadda",
A,"haye macalin , laakiin kuwii hore ii sax maalinkii hore iimaad sixine",
B,halkaas iisaar buugaaga hadhow kuu saxayaaye ,
A,"haye macalin, mahadsanid",
B,guuleyso ,
A,Waxaa rabaa inaan heer sare ka gaaro waxbarshada maxaa talo ah oo aad isiin lahayd macalin,
B,"Maasha Allaah , waa gaari kartaa haddii aad dadaashid , wax badan akhriso sidoo kale macalimiinta iyo dadka kaa aqoonta sare aad latashatid",
A,macalin ma igu caawin kartaa buuggaag i hagta ,
B,"haa waxaa hayaa labo buug , mid wuxuu ka hadlaa sidee ayaa loo noqdaa aqoon yahay , kan kalana wuxuu ka hadlaa sida loo noqdo ardayga ugu sareeya ardayda sanad kaste",
A,igu caawi labaas buuug macalin saan usoo akhristo.,
B,waa diyaar galabta markay xiisaddu dhammaato igu soo mar xaafiiska ardayda,
A,Warku waa dhan yahay ,
B,maadooyinka kawaran ma fahantaaN xiisaddaHA mise xoogaa way adkaadeen,
A,Maya macalin aad uma adka xoogaa maaddada sayniska baa ardaydu ka cabaneysey maalmahaan,
B,maxaa dhacay ? macalinku sifeecan uma dhigo miyaa,
A,"wuu u dhigaaye , waxaa u baahanahay muraajaco in naloo sameeyo macalin",
B,"waxaa loo baahan yahay inaa dhexdiina wax is bartaan oo waqtiga ka faa'iideysataan , cilmigu adinkuu idin ku dhex jiraaye ",
A,haye macalin inkastoo xoogaa aan leysku imaaneyn haddii aanan macalinku balamin,
B,hadda kadib anagaa balamineyna adinkuna ardayda maaddada fahansan u yeea si ay ugu ceshaan casharada soo adkaadey,
A,waa u sheegayaa markaan maanta fasalka tago,
B,dadka raba iney wax soo jeediyaan iisoo qor,
A,okay macalin mahadsanid,
B,Waa ku salaamay saaxiib,
A,"waa kaa qaaday saaxiib , soo dhawoow",
B,saaxiib waa dhawahay mahadsanid,
A,ninyahow kuma arki jirine iskoolka miyaa ku cusub tahay,
B,"haa saaxiib waa cusbahay , meesha sifeecan wali uma baran ",
A,dhib male saaxiib anigaa kaa caawinaaya waxaa u baahatid,
B,fasalkee tahay adiga walaalo,
A,"9aad baa ahay saaxiib , sanadkaan ayaa kasoo qalin jabiyey dugsi dhexe",
B,"maasha Allaah , kula mid baa ahay anigana haddaan soo dhammeeyey ",
A,meeqa weeye ardayda sanadkaan soo qalin jabisey ee kusoo biirtay iskoolka,
B,saaxiib ma sheegi karo laakiin 600 oo arday way dhaafayaan ayaan maqlay,
A,aad ayay u badan yihiin runtii iskoolkaan ayaa aad ardaydu u jeceshahay,
B,"haa isdkoolkaan waa ka feecan yahay kuwa kale , aqoon feecana waa siiyaa ardayda",
A,meeqa laab ayuu leeyahay horta ?,
B,saddex kombiyuutarka ah iyo labo kemistarey ah intaas ayaa arkay saaxiib,
A,wasaaradda waxbarasha ayaa taageerta iskoolkaan waana sababta uu uga feecan yahay kuwa kale,
B,"haa , waa maqlay , dowladdaa aad u taageerta waana sababta ay dadkuu jecel yihiin",
A,Fasalladiisa waxaa maqlay iney gaarayaan 70 ma run baa ?,
B,wayba kasii badan yihiin runtii intaas !,
A,"Maasha Allaah , waa wax aad loogu farxo , bogaadina mudan .",
B,iskoolkaan dowladdu runtii waxay siisey mudnaan gooni ah sida aad ka arki kartid .,
A,aad iyo aad wuxuu kamid yahay iskooladda ay ku tiirsan tahay dowladdu  waana sababta ay xooga u saarta .,
B,"maxaa heley kuwa kale ayay kula tahay , oo uga duwan yihiin kan",
A,"runtii , iskoolkaan wuxuu heystaa bed aad u weyn oo aysan heysan kuwa kale.",
B,sidoo kale waxuu heystaa macalimiin tayadoodu aad u sareyso dhanka waxbarashada ,
A,waxaa rajeyneynaa iney ku daydaan iskoolaadka kale si ay u helaan maamuuskaan oo kale,
B,haddii ay isku taxalujiyaan runtii waa fursad bannaan ,
A,"balse waxaa maqlay sanadka cusub iney dowladdu gadeyneyso iskoolaad cusub sida Al-najax , maxaa ka ogtahay arintaas ?",
B,"Warkaas anbah waa isoo gaarey , laakiin ma hubo saxnaantiisa .",
A,"waxaa waayadaan usoo batey kuwa gaarka loo leeyahay , malaga yaabaa iney kuwaas xadidaan oo sharuuc u sameyso dowladdu ?",
B,"haa , waa rajeyneynaa arintaas waliba si furan oo aan lahayn eex ",
A,horta sanadkii hore meeqa arday ayaa qalin bedalatay ?,
A,celcelis ahaa waxay kor u dhaafayeen 65000 oo arday,
B,"aad ayey u badan yihiin , waana wax lagu farxo iney bulshadeena xoogaa soo fahan tahay waxbarshada ",
A,balse markii la fiirsho tayada waxbarashada waxaa muuqata wali inaanan gaarin heerkii laga rabey,
B,waa rajeyneynaa sanadyada soo socda iney kor usiii kacdo dhanka tayada waxbarashada,
A,waa meelahee baa isleedahay dhanka xoojinta badan u baahan ?,
B,aad ayey ubadan yihiin caqabada jira balse waxaa ugu weyn macalimiinta dhankooda in wax laga qabto ,
A,sidee baad isleedahay in wax looga qabto arintaas,
B,runtii waxaa isleeyahay haddii la qaban lahaa tababarro joogta oo dhanka macalimiinta loo qaban lahaa waxbaa is badali lahaa,
A,dhibaatada kale ee jirta waxaa kamid ah inaan bulshadeena u aragto waxbarshada meel laga shaqeyso oo aan ahmiyad weyn lasiin kor uqaadisteeda iyo in wax laga badalo,
B,"haa ,macalimiinta way usoo shaqo tagaan saan aamin sanahay ardayda waana sababta keentey in ay yaraadaan ardey tayo leh oo wax badali kara",
A,"aad iyo aad kuwa jira ee xoogaaga fahmeyna , markey arkaan dadku meesha ay u badan yihiin waxaa laga yaabaa in ay lamid noqdaan kooxdaas",
A,sanadkii hore dowladdu dhanka wasaaradda waxbey ka qabatey runtii.,
B,wasiirka runtii wax badan ayuu baddaley markii loo eego sanad yadii hore ,
A,"waxaa ku farxay wasiirka markii uu meesha kasaarey lacagtii laga qaadi jirey ardeyda dhammeysey dugsiga sare, oo runtii ah abaal bulshada uu u galey",
B,"waxuu mudan yahay in looga mahad cesho guulihii uu gaarey sanadkii lasoo dhaafey , waana rajeyneynaa inuu sii wadi doono arinkaas",
A,"Balse soomaalidu waa iska 4.5 ,waxaa dhici karta in laga ceyrsho shaqada asagoo waxaas oo hormar ah gaarey.",
B,mushiladaas bulshadu way ka hortagi kartaa haddey fahanto qofka wax u qabanaaya iyo kaan wax u qaban ee ka shaqeysta meesha.,
A,"Wacyiga bulshada kor umaqaadna , taas weeye dhibku ",
B,Hormarka bulshada wuxuu ku xiran yahay waa waxbarashada .,
A,aad iyo aad markaste oo waxbarashadu sareyso waa markastoo hormar feecan meeshaas kajiro,
B,waxaa u rajeyneynaa bulshadeena iney fahmaan muhiimadda ay leedahay kor u qaadida arintaan,
A,waa in laga shaqeeyaa arintaas si wada jir ah oo hormar waara loo gaaro,
B,"Ururro waxbarsho haddii la sameyso soo ma feecnaan lahayn  , kuwaas kor uqaada heerka waxbarashada ? ",
A,"haa, waxay u baahan tahay abaabul bulsho oo dheeri ah",
B,kawaran haddii aan bilowno labadeena ?,
B,runtii waa arin wanaagsan middaas xagee ka bilownaa ,
A,waxaa ila feecan inaan tagno iskoolaadka magaaladda kadibna aan gudiga ardayda aan la kulano ,
B,okay taas waa bar bilow wanaagsan ma taqaan iskoolaad maamul feecan oo aan ka bilowno,
A,kuwa badan baa aqaan balse waxaa ila feecan inaan ka bilowno dariskeena,
B,"waa tageynaa , goormaa balansanaah qoladaas",
A,bari subax haddaan tagno kawaran ?,
B,"maya  , nin yahow bari meel kalaa aadayaa ee kawaran , haddaan ka dhigano 20/1/2025",
A,"dhib male , waxaa ka dhiganeynaa waqtiga aad jaanis u heshid arintaan",
B,"laakiin kawaran intaanan tagin iskoolka haddii aan asxaabteena usoo bandhigno arintaan , sida ay u arkaan",
A,"waa arin wanaagsan , saan u ogaano aragtidooda ",
B,habeenka jamcaha baa balansaneynaa waliba waxaa ku kulmeynaa hoolka jaamacadda ,
A,waqtigee ka dhiganaa kulankaas,
B,,
A,,
B,,
A,,
B,,
A,,
B,,
A,,
B,,
A,,
