T,maya waa kaligay ,,,,,,
B,walaal maii tilmaamikartaa goobta lagu gado maacunta ?,,,,,,
T,Haa waankuu tilmaami karaa waxaa lagu gadaa isgoyska banaadir ,,,,,,
B,mahadsanid ,,,,,,
T,adaa mudan,,,,,,
B,maanta imisa macaamiil ayaa wax naga iibsaday ?,,,,,,
T,waxaan u adeegnay ilaa boqol macaamiil?,,,,,,
B, macaamiishu maku qanceen sida loogu adeegay ?,,,,,,
T,Haa aad iyo aad iyagoo dhoola caddaynaya bay sii baxeen.,,,,,,
B,haye maxaa kuuyaala dukaanka  ?,,,,,,
T,waxaa  noo yaala waxwalba oo aad ubaahantahay ,,,,,,
B,mahaysaa  agbaka waxbarshada ?,,,,,,
T,haa waan haynaa noocyada kala duwan ee agabka waxbarashada sida qalimaanta buugaagta iyo wixii kale la  mida.,,,,,,
B,waxaan ubaahanahay  saddex qalin rasaas iyo affar qalin biire  waa imisa ?,,,,,,
T,qalin rasaaska halkii xabo waa laba kun halka qalin biiraha halkii xabo uu yahay sadax kun ,,,,,,
B,halkan maktabad buugaagta lagu gado soo maha ?,,,,,,
T, haa waad saxantahay ,,,,,,
B,mahaysaan buugaag kahadlaysa suugaanta soomaaliya ,,,,,,
T,maya walaal way naga dhamaadeen  ee waxaad  waydiisa maktabadda naga soo horjeeda,,,,,,
B,meeqa saac ayaad furaysaa dukaanka maanta ?,,,,,,
T,waxaan furayaa shantii iyo bar ,,,,,,
B,waxaan doonayaa in aad iiso dhiibto   nus littir saliid ah ,,,,,,
T,haye waan kuusoo dhiibayaa inshaa allaah.,,,,,,
B,meeshaan yaa masuul ka ah ?,,,,,,
T,anigaa masuul ka ah walaal .,,,,,,
B,waxaan dacwo ka ahay  mid kamid ah shaqaalaha  dukaankan   oo si aan wanaagsanayn iila dhaqmay ,,,,,,
T,waan kaxumahay arinkaa waana kaaraali galinaynaa  si adagna waa loo la xisaabtamayaa,,,,,,
B,maanta qiima dhimis miyaa jirta ?,,,,,,
T,soo dhawoow macaamiil maanta qiima dhimis ballaaran baa jirta  qaybaha kala duwan ee  badeecadda.,,,,,,
B,waxaad faahfaahin iga sii saa inta shay ee qiima dhimis kujirta ?,,,,,,
T,"qiima dhimistu waxay kujirtaa qayba badan sida qudaarta,cuntooyinka, agabka jimicsiga, dharka caruurta.",,,,,,
B,qiima dhimis kuma jiraan miyaa qaybta  maacuunta ?,,,,,,
T,maya  qaybta maacuunta kama mid aha kuwa kujira qiima dhimista maanta ,,,,,,
B,bal kawaran qaybta shoobinka qiima dhimis maleedahay ?,,,,,,
T,maya waan kaxumahay walaal  iyaguna kuma jiraan qiima dhimista ,,,,,,
B,qaybta  agabka wax barashada ama qaybta caruurta iyaguna bal kawaran ?,,,,,,
T,qiima dhimis way lee yihiin labadaas qayb ,,,,,,
B,boqolkiiba intee waaye qiima dhimista ?,,,,,,
T,qaybta agabka waxbarashada waxaa kujira qiima dhimis boqlkiiba kontan  halka qaybta caruurtu ay tahay boqolkiiba  soddon,,,,,,
B,meeqa ayaad faaiiddaa bishii ?,,,,,,
T,bishii  waxaan faaiidaa sideed boqol ,,,,,,
B,ganacsigaagu waa noocee ?,,,,,,
T,waxaan ka ganacsadaa qaybta  dharka ?,,,,,,
B,meeqa dukaan ayaad leedahay ?,,,,,,
T,waxaan leeyahay afar dukaaan?,,,,,,
B,afarta dukaan xagee kuyaalaan?,,,,,,
T,"waxay kuyaalaan hodan ,yaaqshiid , kaaraan ,shibis",,,,,,
B,Qaybtee baa ugu faaiida badan ?,,,,,,
T,waxaa ugu faaiida badan qaybta hodan ,,,,,,
B,maxaa sababay in qaybta hodan uga faaiida badantahy kuwa kale ?,,,,,,
T,waxay uga faaiida badantahay kuwa kale maadaama ay kutaalo meel ay bulsho badan joogaan,,,,,,
B,Alaabta aad gadaysid xagee baad kasoo iibsataa ?,,,,,,
T,Waxaan  kasoo dhoofiyaa intabadan dibadda.,,,,,,
B,Imisa dal baad kasoo dhoofisataa alaabta,,,,,,
T,China waa halka ugu badan ee aan  kasoo dhoofiyo,,,,,,
B,Maxaad kudooraty dalka china,,,,,,
T,China waa halka ugu badan ee aan wax ka soo dhoofsado waayo wuxuu sameeyaa alaab  tayo sare leh.,,,,,,
B,Wadadee ugu dhow ee aan suuqa dharka caruurta lagahelo ku gaari karaa ?,,,,,,
T,waxaa ugu dhaw wadada dabka  ee suuqa maka almukarrama ,,,,,,
B,dharka ciidda suuqa waa sidee ?,,,,,,
T,Waa mid aad u mashquul badan xiligan maadaama ciida ay soo dhaw dahay ,,,,,,
B,Suuqa Xoolaha lagu iibiyo waa sidee?,,,,,,
T,waa mid dhaqaala badan laga sameeyo xilligan,,,,,,
B,Suuqa xoolaha geela intee la gadaa?,,,,,,
T,xilligan halkii geel qiima ahaan wuxuu marayaa hal milyan oo doollar,,,,,,
B,Elektoroonigga aad ka ganacsatid ma china ka keentaa ?,,,,,,
T,Maya dalka mareekanka baan ka keenaa maadaama taya doodu ay aad usarayso,,,,,,
B,Waxaan rabay keyboard halka ugu dhow ee aan kaheli karo waa halkee ?,,,,,,
T,Goobta ugu dhaw oo aad kaheli karto waa suuqa bakaaraha ,,,,,,
B,Iphone ayaan rabay qiimihiisa ma ogtahay ?,,,,,,
T,iphonkii ugu danbeeyay ee sanadkan soo baxay qiimihiisu wuxuu udhaxeeyaa laba kun ilaa kun iyo shan boqol oo doollar,,,,,,
B,Suuqa dawada ugu fiican mesha ugu dhow ee aan ka heli karo dawwo tayo sare leh waa halkee?,,,,,,
T,Suuqa ugu dhaw ee  daawa tayadeedu sareeyso aad ka helayso waa suuqa xamar wayne,,,,,,
B,suuqa kabaha ugu raqiisan laga heli karo waa halkee ?,,,,,,
T,kabaha ugu raqiisan waxaad ka helaysaa suuq huudhayda ee lagu gado wax la soo isticmaalay,,,,,,
B,suuqa kabaha ugu qaalisan intee ka heli karaa ?,,,,,,
T,waxaad kahelaysaa carwooyinka kuyaala  wadada dabka,,,,,,
B,Saaxib saacad ayaan rabay intee ka heli karaa ?,,,,,,
T,saacaddaan waxaad ka heli kartaa goobkasta ee lagu iibiyo saacadaha ,,,,,,
B,Whatsapp ma iiga soo dirikartaa goobta aad kasoo gadatay?,,,,,,
T,Haa waan kuusoo dirayaa goobta ay kuyaalaan iyo bogga ay facbuugga ku leeyihiin ,,,,,,
B,xagee baa lagu gadaa khamiisyo tayo leh?,,,,,,
T,waxaad ka helaysaa khamiisyo taya leh  kasoo horjeedka masjidka abuu hurayra ee kuyaala bakaaraha,,,,,,
B,Ookiyaalaha aad wadato intee kasoo iibsatay ?,,,,,,
T,Ookiyaalaha aan wato waa mid  arga fog waxaana kasoo gatay shirkadda tokiyo,,,,,,Saaxib saacada ayaan rabay intee ka heli kaeraa
B,Ma iraaci karta suuqa si aan usoo gatto ookiyale  ?,,,,,,
T,Haa waan kuraaci karaa ,,,,,,
B,Meheradda lagu gado dharka ma iiraaci karta   ?,,,,,,
T,waan kaxumahay kuuma raaci karo balan baan leeyahay maanta,,,,,,
B,Sidee ayey xilliyada iyo suuqu isu saameeyaan ?,,,,,,
T,Saamayn wayn bay xilliyadu kuleeyhiin suuqa sida xilliga qaboobaha dharka dhaxnta baa lagataa halka xilliga kuleelka dharka fudud lagato,,,,,,
B,Dalalkee ugu badan ayey suuqleydu waxkasoo gataan ?,,,,,,
T,dalka ugu badan ay suuqlaydu wax kasoo gataan waxaa ubadan china  qiimaha oo jaban awgii iyo tayadooda,,,,,,
B,Waxaad ii sheegtaa  warshadda biyaha ugu wanaagsan  ee soomaaliya?,,,,,,
T,Warshadda ugu wanaagsan ee biyaha waa warshadda caafi ,,,,,,
B,xagee bay kutaala warshadda caafi?,,,,,,
T,waxay kutaalaa  wadada  warshadaha  ,,,,,,
B,xagee kala xiriiri karaa shirkadda ?,,,,,,
T,Waxaad kala xiriiri kartaa lambarkooda ama bogga ay ku leeyihiin baraha bulshada,,,,,,
B,meeqa shirkad ee isgaarsiin ah baa kajira dalka ?,,,,,,
T,waxaa kajira saddex shirkad ee isgaarsiin ah ,,,,,,
B,iikala sheeg shirkadahaas  adigoo mahadsan ?,,,,,,
T,"waxay kala yihiin hormuud, somtel,telecom iyo golis.",,,,,,
B,waa tee Shirkadda isgaarsiinta mida ugu hormarsan  ?,,,,,,
T,Shirkadda isgaar siinta waxaa ugu hormarsan shirkadda hormuud,,,,,,
B,Waxaan rabay in aan soogatto buugaag ee buugaagta  halkee  baa lagu gadaa?,,,,,,
T,garan maayo xagga lagu gado,,,,,,
B, toban buug waa meeqo,,,,,,
T,waxaan ku qiyaasayaa sadax doolar,,,,,,
B,bismillaah waaba qaaliyee  ee waa xagee halkaas ?,,,,,,
T,waa magaalada geeskeeda kuwa ku yaala,,,,,,
B,gawaarida cusub xagee lagu iibiyaa ?,,,,,,
T,waxaa lagu iibiyaa lambar afar  ee wadada taleex ,,,,,,
B,Dharkan  waa imisa ?,,,,,,
T,labdii shaati waa toban doolar,,,,,,
B,Dharka dumarka  maxay aad uga qaalisan yihiin kuwa ragga ?,,,,,,
T,sababtu waxa waaye maadaama dumarku ay aad ugataan dharka sidaa baa qaali looga dhigay,,,,,,
B,Dharka dadka da'da ah inte lagu gadaa ?,,,,,,
T,waxaad ka helaysaa dukaan kasto oo kuyaala suuqa,,,,,,
B,Dharka lacagtiisa  soo qaali ma aha sanadkan ?,,,,,,
T,haa  qaali waaye sababtoo ah warshaddihii soo saari jiray baa cilad ku timi,,,,,,
B,Dhar lacagtiisu ay raqiistahay   bal iisheeg ?,,,,,,
T,waxaad ka helikartaa  huudheey goobaha lagu gado .,,,,,,
B,Computer ayaan usoo gadaynaaa lacagtiisa waa imisa ?,,,,,,
T,waxay ku xirantahy nooca aad rabto in aad iibsato,,,,,,
B,intee bay udhaxaysaa lacagta computer lagu iibiyo?,,,,,,
T,waxay udhaxaysaa kun ilaa sadax boqol oo doollar kuwa macquulka ah,,,,,,
B,Saddex computer ma helikartaa ?,,,,,,
T,dabcan haa waanu haynaa ,,,,,,
B,Dhar magadiin  ?,,,,,,
T,nooc walba oo aad ubaahantahay waan haynaa ,,,,,,
B,Kaaran makutaala xarunta dharka lagu gado ?,,,,,,
T,dhawar meherad baa kutaala,,,,,,
B,Shibis maku taalaa xarunta lagu iibiyo boogyada ?,,,,,,
T,haa  waliba maktabado aad u caan ah baa ku yaala,,,,,,
B,Ma ila soo qaadi kartaa   labaatan litar oo biyo ah ?,,,,,,
T,haa nawad aan soo qaadnee,,,,,,
B,Lixdan kilo hilib ah waa imisa ?,,,,,,
T,waa sadax doollar iyo lbar,,,,,,
B,Lixdan kiilo  oo hilib  ah soo mahaysid ?,,,,,,
T,waan kuu heli karaa,,,,,,
B,Suuqa hilibka intee iga jiraa?,,,,,,
T,wuxuu kaa xigaa dhanka galbeedka ,,,,,,
B,Dharka dugsiga degmadee lagu gadaa ?,,,,,,
T,waxaa lagu gadaa dagma walba ,,,,,,
B, boosteejada Gaadiidka suuqa aada xagee kutaalaa?,,,,,,
T,waxay kutaala  isgoyska bakaaraha,,,,,,
B,Gaadiid aado suuqa Dharka  xagee  laga heli karaa ?,,,,,,
T,waxaa laga heli karaa  goobwalba,,,,,,
B,baabuurta aado suuqa buugaagta intee laga helikaraa ?,,,,,,
T,waxay joogaan grash kaas agtiisa,,,,,,
B,hadii aan raaco gaariga hoomeeyda  meeqa daqiiqo buu igu gaynayaa suuqa daawada ?,,,,,,
T,toban daqiiqo ilaa shan daqiiqo bay kuugu qaadanaysaa,,,,,,
B,Waddanka Soomaaliya Suuq xor ah  miyaa ka jiro ?,,,,,,
T,haa suuqa cidwalba waa ufuranyahay,,,,,,
B,Waddanka Soomaaliya Suuqa ugu faa'iida badan waa kee ?,,,,,,
T,waa suuqa dharka iyo kan elcetroonigga,,,,,,
B,maxaa waye Sababta wadankeennu uu uga keensado dharka  wadamada kale ?,,,,,,
T,waxaa usabab ah in dalka aysan kajirin warshado waa wayn,,,,,,
B,Alabta waa imisa?,,,,,,
T,alaabtan iib maha walaal ,,,,,,
B,Alabta   celis miyaa?,,,,,,
T,may waa kuwa cuseeb ah,,,,,,
B,Alabta ma ila  soo iibinkartaa  ?,,,,,,
T,maxaa diidaya,,,,,,
B, Alaabta gaarigaa ma iisoo saartay ?,,,,,,
T,haa wadada bay kusoo jirtaa,,,,,,
B,Labo kuraas ayaan rabay ee lacagtooda waa imisa ?,,,,,,
T,kursigii waa soddan doollar,,,,,,
B,Shirkaddaada maleedahay qayb suuqgayn ?,,,,,,
T,haa waaba adeega ugu wayn ay shirkaddeenu qabato,,,,,,
B, Shirkadda adeeg suuq gayn noocee ah bay bixisaa ?,,,,,,
T,waxay bixisaa adeegyo kala duwan sida  suuq gaynta baraha bulshada ,,,,,,
B,Suuq gayn ayaan gali rabaa ila tali ?,,,,,,
T,waxaan kula tali nayaa in aad raadiso dad khibrad uleh ,,,,,,
B,Bariiska waa imisa ?,,,,,,
T,waa  toban doollar,,,,,,
B,Burka waa imisa ?,,,,,,
T,halkii kiilo waa laba doollar,,,,,,
B,Baastada waa imisa ?,,,,,,
T,halkii bac waa nus doollar,,,,,,
B,Saliida labaatan litar ah dukanka malaga helikaraa  ?,,,,,,
T,haa maxaa meeqa ayaad doonaysaa,,,,,,
B,Bariiska waa meeqa ?,,,,,,
T,waa  shan kun oo shilin soomaali ,,,,,,
B,Burka waa meeqa?,,,,,,
T,waa nus doollar halkii kiilo,,,,,,
B,Baastada waa wadankee kan soo saaray ?,,,,,,
T,waxaa soo saaray Dalka hindiya,,,,,,
B,Saliida sodan litar hadda intee ka heli karaa  ?,,,,,,
T,waxaad ka helikartaa dukaankeega,,,,,,
B,Inteee ayaa iga jirtaa suqa lagu iibiyo Saliida?,,,,,,
T,wuxu kaa xigaa dhanka bari,,,,,,
B,Shidaalka waa imisa ?,,,,,,
T,halkii litir waa hal doollar markii iigu danbaysay,,,,,,
B,Shidaalka waa meeqa ?,,,,,,
T,waa hal doollar,,,,,,
B,toban litir oo shidaal ah gaariga iigu  shub  ?,,,,,,
T,haye ee soo baakin baabuurka,,,,,,
B,Cabitaan ka waa meeqa ?,,,,,,
T,waa nus doollar walaal,,,,,,
B,Cabitaan ka waa imisa ?,,,,,,
T,waa raqiis shan kun lee waaye,,,,,,
B,Koronto intee lacag baa bishii kaaga baxda  ganacsigagga ?,,,,,,
T,bishii waxaa iiga baxa laba boqol oo doollar baa iiga baxda,,,,,,
B,Koronto shirkaddee ugu roon ?,,,,,,
T,waxaa  ugu fiican shirkadda muqdisho iyo shirkadda beeko,,,,,,
B,Koronto shirkaddee ugu fiican ?,,,,,,
T,waxaa ugu roon shirkada muqdisho iyo beeko,,,,,,
B,Korantadu suuqa matahay mid awood leh ?,,,,,,
T,haa waa mid awooddeedu aaad usarayso,,,,,,
B,Xalwadda waa meeqa?,,,,,,
T,halkii  bac waa hal doollar,,,,,,
B,Suuga qudaarta ugu caansan inte kuyaalaa ?,,,,,,
T,wuxuu kuyaalaa bakaaraha,,,,,,
B, si aan ganacsi  u bilawo meqo lacag ayan ubaahanu in aan heesto ?,,,,,,
T,ugu yaraan sodan kun baad ubaahantahy,,,,,,
B,Suuqa iiga soo qaad 20 litar ?,,,,,,
T,haye wax yar ii sug,,,,,,
B,Saaxiib ma ii raci kartaa  suuqa si aan ugu  so adeegto qoyska ?,,,,,,
T,waan ka xumahy saxib wakhti uma hayo,,,,,,
B,Suuqa kaluun ma ka helikaraa xillligan ? ,,,,,,
T,"haa, hadii aad aado waxaad soo helaysa noocya kaladuwan.",,,,,,
B,Xiligee ugu badan ee kalluunka laga helaa badda ?,,,,,,
T,"xilliga ugu badan ee kallun lahelo wa Gu,ga.",,,,,,
B,Shirkadda koronto maleedahay suuq gayn ?,,,,,,
T,haa way leedahayu suuq gayn iyo   wacyi gelin.,,,,,,
B,intee shidalka iigu dhaw ee laga helaa  ?,,,,,,
T,Inta badan waxaa laga helaa isgoyskasta .,,,,,,
B,shidaalka halkii litar waa meeqo ?,,,,,,
T,shiddaalka halkii litar waa mid aan qaali ahayn .,,,,,,
B,intee litar shidal ubahanay in aan kugaaro soddan kilometer ?,,,,,,
T,qiyasti waxad ubaahantay  3 litar.,,,,,,
B,Qalabka dhismaha intee ugu roon lagu gadaa ?,,,,,,
T,waxaa ugu roon dukaamada kuyaala suuqa bakaaraha,,,,,,
B,Alabta Soomaaaliya tala intee laga keenaa ?,,,,,,
T,china ama mareekanka,,,,,,
B,Suuqa timirta  waa xagee ?,,,,,,
T,suuqa timirta wuxuu kuyaalaa halkaas ,,,,,,
B,Timirta waa meeqa ?,,,,,,
T,waa shan doolar sadaxdii kiilo,,,,,,
B,Timirta waa imisa ?,,,,,,
T,waa hal doollar,,,,,,
B,telefonka  wa imisa ?,,,,,,
T,waa laba boqol oo doollar,,,,,,
B,telefon wa meeqa ?,,,,,,
T,telefon waa boqol doollar.,,,,,,
B,telefon ila soo gad ?,,,,,,
T,"haye , saaxib gariga aan qaadanno.",,,,,,
B,boorsooyin meeq nooc ayaan kaheli karnaaa  ?,,,,,,
T,waxaan ka haynaa dhowr nooc .,,,,,,
B,boorsooyin meeqa nooc ayaa taalo dukaankaada ? ,,,,,,
T,"dhowr nooc kaladuwan ayaa taalo , cagaar,gaduud  iyo kuwa kale .",,,,,,
B,Charger imisa la iibiniyaa ?,,,,,,
T,Charger waxaa lagadayaa waa kow iyo toban doollar.,,,,,,
B,Saliida macsaro  waa imisa litirkii ?,,,,,,
T,litirkii waa hal iyo bar ,,,,,,
B,Malabka  mid saafi ah soo maha?,,,,,,
T,haa waa mid saafi ah oo lahubo,,,,,,
B,malabka waa imisa ?,,,,,,
T,waa laba doollar,,,,,,
B,shibis maleedahay xarun koronto ?,,,,,,
T,haa waxaa ku yaala laba xarun,,,,,,
B,Koofidan  waaa imisa ?,,,,,,
T,waa laba iyo bar,,,,,,
B,Shirkadda xallisa  baahiyaha casiriga ah  wa intee xarumahooda   shaqo ?,,,,,,
T,waxay xarumo ku leeyihin soomaaliya oo dhan ,,,,,,
B,Goobta ganacsigaaga ma kiraa misa adaa leh?,,,,,,
T,waa kiro walaal,,,,,,
B,Goobta ganacsigaada kirada waa  meeqa ?,,,,,,
T,bishii waa  saddax boqol oo doollar,,,,,,
B,Midkee fiican in aad kiraysato goobtaada ganacsiga  ama  in aad gadato ?,,,,,,
T,waxaa haboon in aaad gadato,,,,,,
B,Majiraan nootaayo ama goob lagu kala wareejiyo milkiyada ganacsi ?,,,,,,
T,haa way jiraan,,,,,,
B,mataqaanaa noo taayo kala wareejisa dhulalka ?,,,,,,
T,haa waxay kutaalaa jidka maka almukarama,,,,,,
B,Majirtaa shirkad lagu iibiyo gawaarida ?,,,,,,
T,haa aad iyo aad ,,,,,,
B,Intee kutaalaa   goobaha lagu iibiyo gawaarida ?,,,,,,
T,waxay kutaalaa meel udhaw xagaan,,,,,,
B,Caanaha waa imisa ?,,,,,,
T,nuslitirkiii waa hal doollar,,,,,,
B,Maqaayadaa meeqa litar caano ayey malinle u isticmaalaan ?,,,,,,
T,waxaan isticmaalaa maalintii laba litir,,,,,,
B,Dhar mahaysaan  ?,,,,,,
T,nooc walba oo aad ubaahantahy waan haynaa ,,,,,,
B,Dharku iib miyaa   ?,,,,,,
T,nooc walba oo aad ubaahantahay waan haynaa ,,,,,,
B,mataqaanaa goob lagu iibiyo mobilka  ?,,,,,,
T,haa waxaa lagu gadaa suuqa bakaaraha qaybta elektrooniks.,,,,,,
B,mataqaanaa goob lagu iibiyo saacada  ?,,,,,,
T,haa waxaa lagu gadaa suuqa bakaaraha qaybta elektrooniks.,,,,,,
B,mataqaanaa goob lagu iibiyo computer  ?,,,,,,
T,haa waxaa lagu gadaa suuqa bakaaraha qaybta elektrooniks.,,,,,,
B,Whatsapp ma iiga soo diri kartaa goobta aan ka heli karo Xalwadda?,,,,,,
T,Haa waan kuusoo dirayaa goobta lagu iibiyo xalwadda waxaadna ka heli kartaa bogga ay facbuugga ku leeyihiin ,,,,,,
B,halkan soo maha goobta  kamradaha  lagu gado ?,,,,,,
T,haa  waa halka lagu gado ,,,,,,
B,waxaan doonayaa in la ii dhajiyo kamrad ,,,,,,
T,meeqa kamrad ayaad doonyssaa ?,,,,,,
B,Waxaan doonayaa laba kamrad ee mahysaan ?,,,,,,
T,haa waanu haynaa macaamiil,,,,,,
B,saaxiib waxaan ubaahanahay khamiis sagaal xabo ah lacagtooda waa imisa ?,,,,,,
T,sagaalkii xaboo waa boqol doolar,,,,,,
B,suuqa dahabka faaido maleeyahy misa waa lagu khasaaraa,,,,,,
T,suuqa dahabka waa mid aad ufaaido badan maadama dumarku ay yihiin kuwa aad utirabadan,,,,,,
B,saaxib  ardayda dugsiga dhigta  waxay ubahanyihiin qaliman waa imisa ?,,,,,,
T,halkii qalin waa laba kun oo shilin soomaali ah,,,,,,
B,shantii qalin waa imisa,,,,,,
T,waa toban kun oo shilin soomaali ah,,,,,,
B,Waa imisa Projectorka tobanka  xabo ?,,,,,,
T,adiga qiima dhimis baan kuu samaynaynaa tobankii xabo waxaan kaa sii naynaa sagaal boqol oo doolar,,,,,,
B,waa imisa sabuuradda ardayda wax lagu baro?,,,,,,
T,waaa toban iyo shan doolar,,,,,,
B,saaxib  ardayda dugsiga dhigitahaahi waxay ubahanyihiin qaliman waa meeqo ?,,,,,,
T,walaal anagu magadno qalin,,,,,,
B,Gaaska cuntaha baa naga dhamaaday ee manoo keeni kartaa ?,,,,,,
T,haa waan kuu keeni karnaa,,,,,,
B,waa imisa yaanyadan ?,,,,,,
T,kiiladii waa hal doollar,,,,,,
B,waa meeqo yaanyada ?,,,,,,
T,waa hal doollar,,,,,,
B,waa imisa baradhada?,,,,,,
T,nuskiiladii waa laba doolar ,,,,,,
B,waa meeqo baradhada ?,,,,,,
T,waa sadax doollar iyo lbar,,,,,,
B,waa imisa nalka ?,,,,,,
T,xabadkii waa nus doollar,,,,,,
B,waa meeqo nalka ?,,,,,,
T,waa nus doollar,,,,,,
B,saaxib waxaan u baahanahay basbaas waa imisa?,,,,,,
T,waa un laba santi,,,,,,
B,saaxib waxaan u baahanahay bisbaas waa imisa?,,,,,,
T,laba santi waye,,,,,,
B,waa imisa Tv-ga ?,,,,,,
T,waa boqol doollar,,,,,,
B,waa imisa saliga salaada ?,,,,,,
T,waa haldoolar,,,,,,
B,waa meeqo saliga salaada ?,,,,,,
T,xabadkii waa haldoollar,,,,,,
B,waa meeqo kareemka  ?,,,,,,
T,midka wajiga waa hal  dollar,,,,,,
B,waa imisa tufaaxa ?,,,,,,
T,waa nus doollar tobankii xabo soo raqiis maha,,,,,,
B,waa imisa agabka jiimka ?,,,,,,
T,waa qaali ugu yaraan sagaal boqol waye,,,,,,
B,waaba qaaliyee  ?,,,,,,
T,haa waa sidaas,,,,,,
B,waa imisa cowska ?,,,,,,
T,waa un laba kun oo shilin soo maali,,,,,,
B,waa meeqo cowska ?,,,,,,
T,waa laba kun oo shilin soo maali,,,,,,
B,waa imisa diyaarada droonka?,,,,,,
T,mida kaamirada leh misa tana aan lahayn,,,,,,
B,mida kaamirada leh baan ula jeedaa,,,,,,
T,tan kaamirada leh waa  afar boqol oo doollar ,,,,,,
B,mida kalana ?,,,,,,
T,waa laba boqolo oo doollar ,,,,,,
B,waaa qaaliyee   meeqa baa layga dhimi karaa?,,,,,,
T,waxba lgama dhimi karo,,,,,,
B,oo maxaa dhacy  ?,,,,,,
T,waxaan kaaga bilawnay qiimihii ugu hooseeyay macaamiil,,,,,,
B,"Hallow , waxaaa rabaaa in aan helo xog kusaabsan  addega ay bixiso shirkada ?",,,,,,
T,haa walaal soo dhawoow  wxaan bixinaa adeegyo badan sida nadaafada cilad bixinta agabyada,,,,,,
B,waxaa iga ciladaysan finijeer ee macilad bixinkartaan?,,,,,,
T,haa waan  cilad bixin karnaa macaamiil  waxaad noo soo qortaa meesha aad dagantahy ,,,,,,
B,waxaan daganahy dagmada hodan ee meeqa saac baad ii imaanaysaan ?,,,,,,
T,wxaan kuu imaanaynaa sadax saac subaxnimo inshaa alaah,,,,,,
B,waxyaabaha aad iibisaan maka mid tahay  makrafoon ?,,,,,,
T,haa waanu gadnaa macaamiil ,,,,,,
B,waa imisa  halkii makrafon ?,,,,,,
T,waa un  labaatan doollar ,,,,,,
B,"Hallo , xarunta biyaha so ma'aha? wxaan ubaahnaa tubo cusub in lii xiro ?",,,,,,
T,haa macaamill waa diyaar waxaad soo dirtaa lacgta tubadda iyo ,,,,,,
B,waxan dalbanayaa cunto ilaa hadana nama soo  gaarin ?,,,,,,
T,waanu ka xun nahay  jaam  jiro awgeed bay cila daasu ku imaatay,,,,,,
